id;name;address;phone;description
1;Isle;benchmark;1-695-755-5380 x473;Generic Customizable International
2;orchid;Handcrafted Metal Berkshire;802.579.1009 x1231;Steel JBOD Greece
3;Rubber Central standardization;Towels Tuna architecture;(676) 481-5610;Hat relationships
4;middleware compressing;magnetic Grass-roots;(269) 586-3441 x53027;AI
5;magnetic SCSI generating;definition Computer;852-525-1250;Sausages Azerbaijanian
6;International Montserrat;bandwidth structure payment;(435) 658-2133 x733;indexing RAM synthesize
7;Gorgeous mobile bleeding-edge;interface Chips;544.305.1025 x57273;Health Pa'anga
8;Center District;Corporate network;646.808.6400;indexing Shirt wireless
9;green;Computer Soft;(662) 376-4856;Account
10;Granite;purple red;1-324-947-6037;Avon
