id;do_number;placed_date;status;code
1;tangible green;2022-01-29T06:45:50;PENDING;Nevada
2;gold withdrawal back-end;2022-01-29T16:01:30;COMPLETED;Pizza
3;quantify;2022-01-29T07:50:51;COMPLETED;Tunnel exploit Movies
4;Market firmware;2022-01-29T16:04:51;COMPLETED;Dollar syndicate
5;transform;2022-01-29T08:11:36;PENDING;Future
6;navigating;2022-01-29T03:01:20;CANCELLED;Loan
7;Factors;2022-01-29T14:28:35;CANCELLED;Factors knowledge Kids
8;Market;2022-01-29T08:39:49;PENDING;multi-byte Street
9;Crest matrix Tuna;2022-01-29T06:44:58;COMPLETED;B2C array Lari
10;Cotton online;2022-01-29T11:29:09;COMPLETED;override Grocery
