id;name;description;image;image_content_type
1;Steel;Assistant;../fake-data/blob/hipster.png;image/png
2;cross-platform Principal;wireless Computer;../fake-data/blob/hipster.png;image/png
3;reboot magenta THX;THX;../fake-data/blob/hipster.png;image/png
4;Centers Metal navigating;partnerships Infrastructure;../fake-data/blob/hipster.png;image/png
5;transmitting New Bedfordshire;Malagasy intranet;../fake-data/blob/hipster.png;image/png
6;neutral;Bike;../fake-data/blob/hipster.png;image/png
7;Computer CFP orange;Village;../fake-data/blob/hipster.png;image/png
8;distributed indigo JSON;Personal Steel;../fake-data/blob/hipster.png;image/png
9;solutions;Prairie;../fake-data/blob/hipster.png;image/png
10;invoice;Bike Shoes Center;../fake-data/blob/hipster.png;image/png
