id;name;ip;port;status
1;Generic algorithm Central;state;54723;DISCONNECTED
2;generate;SAS;59091;DISCONNECTED
3;groupware mobile SSL;optimize EXE microchip;69717;CONNECTED
4;repurpose salmon Salad;functionalities Senior function;96525;CONNECTED
5;programming;Investor Road withdrawal;78310;CONNECTED
6;Granite;port;88126;DISCONNECTED
7;Norway hacking quantify;Utah Granite;44554;CONNECTED
8;Personal repurpose Organized;JBOD installation;54318;CONNECTED
9;Shores Berkshire;Guadeloupe Unbranded withdrawal;5706;CONNECTED
10;Account Krona virtual;withdrawal;22108;DISCONNECTED
