id;name;note;phone;contact_person
1;Buckinghamshire back-end Som;moratorium Vatu;1-746-837-1800 x59913;e-business
2;International;rich;1-372-776-6781 x119;Knolls Analyst
3;Assurance;invoice;(784) 752-4957;RSS Director
4;Maryland loyalty;Agent;1-410-919-6473;bandwidth Buckinghamshire Gloves
5;Leone Cotton;withdrawal vortals system;1-594-218-4017 x7298;Open-architected virtual paradigms
6;Rhode;Administrator Chips reboot;1-461-613-9380 x04004;Associate SAS Run
7;Response toolset;definition Fish Buckinghamshire;810-289-0868 x1152;calculating Steel Bacon
8;Lek override;Lek withdrawal Refined;1-811-729-5944 x320;parse infrastructures
9;Via;Borders Human Rubber;654.594.3137 x6035;Cambridgeshire ivory
10;SQL;Plastic connecting Sterling;876-811-0304 x55632;mission-critical Implementation
